Year,Discipline,SG_AREA,TX_COR,CO_PROVA,Question_Number,Question_Text,Skill_Number
2022,Matemática e suas Tecnologias,MT,AZUL,1075,Questão 136 - Matemática e suas Tecnologias,"Uma  máquina  em  operação  tem  sua  temperatura  T  monitorada  por  meio  de  um
registro gráfico, ao longo do tempo t. Essa máquina possui um pistão cuja velocidade V

varia com a temperatura T da máquina, de acordo com a expressão V = T  –  4.  Após  a
máquina  funcionar  durante  o  intervalo  de  tempo  de  10  horas,  o  seu  operador  analisa  o
registro gráfico, apresentado na figura, para avaliar a necessidade de eventuais ajustes,

2 

sabendo  que  a  máquina  apresenta  falhas  de  funcionamento  quando  a  velocidade  do
pistão se anula.

t (h)

10

Quantas vezes a velocidade do pistão se anulou durante as 10 horas de funcionamento?

T (ºC)

4

2

0

-2

A

B

C

D

E

1

2

3

4

5

/",25
2022,Matemática e suas Tecnologias,MT,AZUL,1075,Questão 137 - Matemática e suas Tecnologias,"A  World  Series  é  a  decisão  do  campeonato  norte-americano  de  beisebol.  Os  dois
times que chegam a essa fase jogam, entre si, até sete partidas. O primeiro desses times

que completar quatro vitórias é declarado campeão.

Considere que, em todas as partidas, a probabilidade de qualquer um dos dois times

vencer é sempre 

1
.
2

Qual é a probabilidade de o time campeão ser aquele que venceu a primeira partida da
World Series?

A

B

C

D

E

35
64

40
64

42
64

44
64

52
64

/",28
2022,Matemática e suas Tecnologias,MT,AZUL,1075,Questão 138 - Matemática e suas Tecnologias,"O gráfico apresenta os totais de receitas e despesas de uma empresa, expressos em

milhão de reais, no decorrer dos meses de um determinado ano. A  empresa obtém lucro
quando  a  diferença  entre  receita  e  despesa  é  positiva  e  tem  prejuízo  quando  essa
diferença é negativa.

Jan.  Fev.  Mar.  Abr.  Maio  Jun.  Jul.   Ago.  Set.  Out.  Nov.  Dez.

Receitas             Despesas

Qual  é  a  mediana,  em  milhão  de  reais,  dos  valores  dos  lucros  apurados  pela  empresa

9

8

7

6

5

4

3

2

1

0

nesse ano?

A

1,5

B

C

2,0

2,9

D

3,0

E

5,5

/",27
2022,Matemática e suas Tecnologias,MT,AZUL,1075,Questão 139 - Matemática e suas Tecnologias,"Um  casal  está  reformando  a  cozinha  de  casa  e  decidiu  comprar  um  refrigerador
novo. Observando a planta da nova cozinha, desenhada na escala de 1 : 50, notaram que
o espaço destinado ao refrigerador tinha 3,8 cm de altura e 1,6 cm de largura. Eles sabem

que  os  fabricantes  de  refrigeradores  indicam  que,  para  um  bom  funcionamento  e  fácil
manejo  na  limpeza,  esses  eletrodomésticos  devem  ser  colocados  em  espaços  que
permitam  uma  distância  de,  pelo  menos,  10  cm  de  outros  móveis  ou  paredes,  tanto  na

parte superior quanto nas laterais. O casal comprou um refrigerador que caberia no local
a ele destinado na nova cozinha, seguindo as instruções do fabricante.

Esse refrigerador tem altura e largura máximas, em metro, respectivamente, iguais a

A

1,80 e 0,60.

B

C

1,80 e 0,70.

1,90 e 0,80.

D

2,00 e 0,90.

E

2,00 e 1,00.

/",11
2022,Matemática e suas Tecnologias,MT,AZUL,1075,Questão 140 - Matemática e suas Tecnologias,"Foram  convidadas  32  equipes  para  um  torneio  de  futebol,  que  foram  divididas  em

8 grupos com 4 equipes, sendo que, dentro de um grupo, cada equipe disputa uma única
partida  contra  cada  uma  das  demais  equipes  de  seu  grupo.  A  primeira  e  a  segunda
colocadas de cada grupo seguem para realizar as 8 partidas da próxima fase do torneio,
chamada oitavas de final. Os vencedores das partidas das oitavas de final seguem para
jogar as 4 partidas das quartas de final. Os vencedores das quartas de final disputam as

2  partidas  das  semifinais,  e  os  vencedores  avançam  para  a  grande  final,  que  define  a
campeã do torneio.

Pelas  regras  do  torneio,  cada  equipe  deve  ter  um  período  de  descanso  de,  no
mínimo,  3  dias  entre  dois  jogos  por  ela  disputados,  ou  seja,  se  um  time  disputar  uma
partida,  por  exemplo,  num  domingo,  só  poderá  disputar  a  partida  seguinte  a  partir  da
quinta-feira da mesma semana.

O número mínimo de dias necessários para a realização desse torneio é

A

22.

B

C

25.

28.

D

48.

E

64.

/",3
2022,Matemática e suas Tecnologias,MT,AZUL,1075,Questão 141 - Matemática e suas Tecnologias,"Em  um  jogo  de  bingo,  as  cartelas  contêm  16  quadrículas  dispostas  em  linhas  e
colunas.  Cada  quadrícula  tem  impresso  um  número,  dentre  os  inteiros  de  1  a  50,  sem
repetição de número. Na primeira rodada, um número é sorteado, aleatoriamente, dentre

os 50 possíveis.  Em  todas  as  rodadas, o número sorteado é descartado  e não participa
dos  sorteios  das  rodadas  seguintes.  Caso  o  jogador  tenha  em  sua  cartela  o  número
sorteado,  ele  o  assinala  na  cartela.  Ganha  o  jogador  que  primeiro  conseguir  preencher
quatro  quadrículas  que  formam  uma  linha,  uma  coluna  ou  uma  diagonal,  conforme  os
tipos de situações ilustradas na Figura 1.

O jogo inicia e, nas quatro primeiras rodadas, foram sorteados os seguintes números:
03,  27,  07  e  48.  Ao  final  da  quarta  rodada,  somente  Pedro  possuía  uma  cartela  que
continha  esses  quatro  números  sorteados,  sendo  que  todos  os  demais  jogadores
conseguiram  assinalar,  no  máximo,  um  desses  números  em  suas  cartelas.  Observe  na
Figura 2 o cartão de Pedro após as quatro primeiras rodadas.

03 48

12

27

49 11

22 05

29 50 19 45

33 23 38

07

Figura 2

A probabilidade de Pedro ganhar o jogo em uma das duas próximas rodadas é

A

B

C

D

E

1
46

+

1
45

1
46

1
46

1
46

1
46

2
46 45

8
46 45

43
46 45

49
46 45

/",28
2022,Matemática e suas Tecnologias,MT,AZUL,1075,Questão 142 - Matemática e suas Tecnologias,"Uma  montadora  de  automóveis  divulgou  que  oferta  a  seus  clientes  mais  de
1 000 configurações diferentes de carro, variando o modelo, a motorização, os opcionais
e  a  cor  do  veículo.  Atualmente,  ela  oferece  7  modelos  de  carros  com  2  tipos  de
motores:  1.0  e  1.6.  Já  em  relação  aos  opcionais,  existem  3  escolhas  possíveis:
central  multimídia,  rodas  de  liga  leve  e  bancos  de  couro,  podendo  o  cliente  optar  por

incluir um, dois, três ou nenhum dos opcionais disponíveis.

Para  ser  fiel  à  divulgação  feita,  a  quantidade  mínima  de  cores  que  a  montadora  deverá
disponibilizar a seus clientes é

A

8.

B

C

9.

11.

D

18.

E

24.

/",5
2022,Matemática e suas Tecnologias,MT,AZUL,1075,Questão 143 - Matemática e suas Tecnologias,"Dentre  as  diversas  planificações  possíveis  para  o  cubo,  uma  delas  é  a  que  se

encontra apresentada na Figura 1.

Figura 1

Em um cubo, foram pintados, em três de suas faces, quadrados de cor cinza escura,
que ocupam um quarto dessas faces, tendo esses três quadrados um vértice em comum,
conforme ilustrado na Figura 2.

Figura 2

A  planificação  do  cubo  da  Figura  2,  conforme  o  tipo  de  planificação  apresentada  na

Figura 1, é

A

B

 

/

C

D

E

/",7
2022,Matemática e suas Tecnologias,MT,AZUL,1075,Questão 144 - Matemática e suas Tecnologias,"Cada número que identifica uma agência bancária tem quatro dígitos: N , N , N , N
4

1

3

2

mais um dígito verificador N .
5

N1 N2 N3 N4

N5

Todos  esses  dígitos  são  números  naturais  pertencentes  ao  conjunto
{0,  1,  2,  3,  4,  5,  6,  7,  8,  9}.  Para  a  determinação  de  N ,  primeiramente  multiplica-se
ordenadamente  os  quatro  primeiros  dígitos  do  número  da  agência  por  5,  4,  3  e  2,

5

respectivamente, somam-se os resultados e obtém-se S = 5 N + 4 N + 3 N + 2 N .
4

1 

3 

2 

Posteriormente,  encontra-se  o  resto  da  divisão  de  S  por  11,  denotando  por  R  esse

resto. Dessa forma, N  é a diferença 11 − R.
5

Considere  o  número  de  uma  agência  bancária  cujos  quatro  primeiros  dígitos

são 0100.

Qual é o dígito verificador N  dessa agência bancária?
5

A

B

C

D

E

0

6

7

8

9

/",1
2022,Matemática e suas Tecnologias,MT,AZUL,1075,Questão 145 - Matemática e suas Tecnologias,"O  pacote  básico  de  um  jogo  para  smartphone,  que  é  vendido  a  R$  50,00,  contém

2 000 gemas e 100 000 moedas de ouro, que são itens utilizáveis nesse jogo.

A  empresa  que  comercializa  esse  jogo  decidiu  criar  um  pacote  especial  que  será
vendido  a  R$  100,00  e  que  se  diferenciará  do  pacote  básico  por  apresentar  maiores
quantidades de gemas e moedas de ouro. Para estimular as vendas desse novo pacote, a
empresa decidiu inserir nele 6 000 gemas a mais, em relação ao que o cliente teria caso
optasse por comprar, com a mesma quantia, dois pacotes básicos.

A quantidade de moedas de ouro que a empresa deverá inserir ao pacote especial, para
que  seja  mantida  a  mesma  proporção  existente  entre  as  quantidades  de  gemas  e  de
moedas de ouro contidas no pacote básico, é

A

50 000.

B

C

100 000.

200 000.

D

300 000.

E

400 000.

/",18
